ID,class1,class2,class3,class4,class5,class6,class7,class8,class9
0,0.0174042321742,0.301727414131,0.0136577934027,0.0425957404077,0.0176754593849,0.0102398535237,0.570266187191,0.0053199455142,0.0211133956909
1,0.377569109201,0.0238916818053,0.036173235625,0.480702191591,0.0279456358403,0.0165539421141,0.0213660486042,0.00476687308401,0.0110312495381
2,0.0191007405519,0.201325893402,0.0285566505045,0.282075077295,0.0169125758111,0.018174758181,0.416031509638,0.00775915710256,0.0100636091083
3,0.0271318871528,0.0761671885848,0.0104350391775,0.0704230815172,0.0208333134651,0.00505337258801,0.77537715435,0.00435775890946,0.0102211954072
4,0.469985514879,0.0516158156097,0.0191870741546,0.238852217793,0.037743460387,0.0187245961279,0.0804967060685,0.0380798652768,0.0453147925436
5,0.190524861217,0.0127456448972,0.00424398062751,0.748720765114,0.0244576632977,0.00523291295394,0.00641435524449,0.00235163513571,0.005308247637
6,0.041354984045,0.129682958126,0.0132538331673,0.0464637242258,0.0585117936134,0.0147226620466,0.675062298775,0.00687843188643,0.0140693252906
7,0.328067272902,0.0178440622985,0.0154314069077,0.530146658421,0.0693532600999,0.0129886064678,0.0116829816252,0.00515722623095,0.00932849943638
8,0.157380670309,0.145987451077,0.0450169332325,0.227749407291,0.034546174109,0.010090908967,0.361466020346,0.00606583245099,0.0116965975612
9,0.258503884077,0.277726560831,0.00816477555782,0.147584155202,0.0380103774369,0.0160202663392,0.22166338563,0.0127575118095,0.0195690821856
10,0.0196795966476,0.0853752866387,0.028232742101,0.0883599221706,0.0234135948122,0.0108654089272,0.723024487495,0.00651873880997,0.0145302712917
11,0.0918215811253,0.159390389919,0.0161897167563,0.144684866071,0.0585887655616,0.0299732536077,0.454777538776,0.0218301415443,0.0227438248694
12,0.3313177526,0.0333023630083,0.014770439826,0.235765233636,0.25652629137,0.0876536816359,0.0256064515561,0.0057745766826,0.00928321201354
13,0.0489343181252,0.0810609906912,0.00957451295108,0.147110372782,0.0163401979953,0.0193879827857,0.650117576122,0.0123129077256,0.0151611911133
14,0.833531677723,0.0519654266536,0.00391108449548,0.0532182902098,0.0105729028583,0.00637320335954,0.0271333232522,0.0053101289086,0.00798391457647
15,0.0418815352023,0.37730678916,0.00835447944701,0.288398891687,0.0230628922582,0.0618500895798,0.182319447398,0.00480358721688,0.012022357434
16,0.0651219189167,0.0746722817421,0.00805995799601,0.642985761166,0.0229558944702,0.0167566686869,0.152820393443,0.00892969314009,0.00769738154486
17,0.0258645676076,0.117072455585,0.0250318907201,0.166960000992,0.0358086749911,0.0279907137156,0.573336064816,0.00487517099828,0.023060457781
18,0.0960983559489,0.0582461729646,0.0065600881353,0.333172649145,0.0149428499863,0.00934672541916,0.462816536427,0.00777633907273,0.011040312238
19,0.0223086159676,0.0227766446769,0.181767404079,0.0980642214417,0.012588666752,0.00510543957353,0.645363152027,0.00357714854181,0.00844867154956
20,0.104618854821,0.101675204933,0.01058550179,0.591739416122,0.0352430716157,0.0173028837889,0.113217927516,0.00695489812642,0.0186622701585
21,0.0268922317773,0.282208502293,0.00903793144971,0.317946910858,0.0221114978194,0.0136596597731,0.309021145105,0.00558319222182,0.013538915664
22,0.247082725167,0.0191272720695,0.00842525716871,0.654115378857,0.0104980682954,0.00846584234387,0.0411776080728,0.00363867986016,0.00746912742034
23,0.231180891395,0.304389744997,0.00900305435061,0.14942599833,0.0264192987233,0.0203524250537,0.223553389311,0.0143492296338,0.021325988695
24,0.0120365256444,0.262899518013,0.00668083457276,0.161194711924,0.0279752537608,0.00905121024698,0.503995895386,0.00632764631882,0.00983843021095
25,0.654224395752,0.218133211136,0.00774951186031,0.0552415773273,0.0202528927475,0.00952911749482,0.0185507703573,0.00620098086074,0.0101175298914
26,0.466047078371,0.337480336428,0.0042950604111,0.0911068096757,0.0180366113782,0.0063132494688,0.0617122128606,0.00495092803612,0.010057750158
27,0.0122504942119,0.121436133981,0.00739863980561,0.0426129512489,0.0151527086273,0.0119292056188,0.768148422241,0.00601561367512,0.0150557952002
28,0.283302664757,0.0400696657598,0.00524727674201,0.496226161718,0.0228492207825,0.0149887334555,0.123369179666,0.00516949547455,0.00877759233117
29,0.158584088087,0.0358101464808,0.00802126619965,0.457086354494,0.0387047603726,0.00801104027778,0.258243829012,0.00688240770251,0.0286560878158
30,0.0127698574215,0.192842870951,0.0236394293606,0.187222033739,0.0203080419451,0.00979328155518,0.537879049778,0.00488142017275,0.0106639992446
31,0.0245294868946,0.0558404102921,0.0155580993742,0.231756210327,0.064846932888,0.0167621541768,0.568847477436,0.00630852812901,0.0155507149175
32,0.35530886054,0.314157962799,0.00989210791886,0.184336870909,0.0197905674577,0.0143000595272,0.0801474228501,0.00640607113019,0.0156600810587
33,0.373584777117,0.0977022051811,0.0779282525182,0.155820533633,0.0401913039386,0.0181995909661,0.211576551199,0.0102644227445,0.0147323114797
